rank,score,org_name,program,phone,city,counties,population_reach,largest_counties,zips,reach,status,funding_lasts_until,reopens_on,how_to_apply,hours,daily_cap,documents_required,most_common_turnaway,anything_changing,spoke_with,verify_outcome,note,called_at,va,source_url,needs_source_verification
1,59.38,BakerRipley,Comprehensive Energy Assistance Program (CEAP),+17136679400,Houston,3,5745696,"Harris, Brazoria, Galveston",263,97.9,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
2,59.38,Gulf Coast Community Services Association,Comprehensive Energy Assistance Program (CEAP),+17133934700,Houston,3,5745696,"Harris, Brazoria, Galveston",263,97.9,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
3,58.16,"Community Services, Inc.",Comprehensive Energy Assistance Program (CEAP),+19038722401,Corsicana,10,3013945,"Collin, Denton, Ellis",154,93.9,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
4,58.12,Texoma Council of Governments,Comprehensive Energy Assistance Program (CEAP),+19038932161,Sherman,19,2952503,"Collin, Denton, Grayson",198,93.7,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
5,58.03,Community Council of Greater Dallas,Comprehensive Energy Assistance Program (CEAP),+12148715065,Dallas,1,2823843,Dallas,127,93.4,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
6,58.03,Dallas County Department of Health and Human Services,Comprehensive Energy Assistance Program (CEAP),+12148191848,Dallas,1,2823843,Dallas,127,93.4,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
7,57.94,Alamo Area Council of Governments,Comprehensive Energy Assistance Program (CEAP),+12103625200,San Antonio,12,2679447,"Bexar, Comal, Guadalupe",169,93.1,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
8,57.74,Greater East Texas Community Action Program (GETCAP),Comprehensive Energy Assistance Program (CEAP),+18006215746,Nacogdoches,30,2411544,"Galveston, Jefferson, Smith",254,92.5,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
9,57.71,"Fort Worth, City of, Neighborhood Services Department",Comprehensive Energy Assistance Program (CEAP),+18173925790,Fort Worth,1,2373979,Tarrant,91,92.4,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
10,57.48,Bexar County Department of Community Resources,Comprehensive Energy Assistance Program (CEAP),+12103353666,San Antonio,1,2107424,Bexar,97,91.6,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
11,57.48,"San Antonio, City of, Department of Human Services",Comprehensive Energy Assistance Program (CEAP),+12102078198,San Antonio,1,2107424,Bexar,97,91.6,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
12,57.25,Community Action Corporation of South Texas,Comprehensive Energy Assistance Program (CEAP),+13616640145,Alice,14,1859565,"Hidalgo, Cameron, Webb",108,90.8,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
13,57.04,"Combined Community Action, Inc.",Comprehensive Energy Assistance Program (CEAP),+19795402980,Giddings,10,1670147,"Fort Bend, Hays, Bastrop",100,90.1,,,,,,,,,,,,,,,https://www.tdhca.texas.gov/sites/default/files/community-affairs/docs/CA-SubRecip.pdf,True
